iter	Passed	Remaining
455	886	1057
456	887	1054
457	894	1058
458	899	1060
459	902	1059
460	907	1061
461	918	1069
462	920	1067
463	921	1064
464	924	1063
465	926	1061
466	928	1060
467	929	1057
468	931	1054
469	935	1055
470	939	1055
471	941	1053
472	942	1050
473	944	1047
474	945	1044
475	947	1043
476	950	1042
477	951	1038
478	952	1035
479	953	1032
480	954	1029
481	956	1027
482	957	1025
483	958	1021
484	959	1018
485	964	1019
486	972	1024
487	973	1021
488	974	1018
489	977	1017
490	979	1015
491	980	1012
492	981	1009
493	982	1006
494	984	1004
495	985	1001
496	986	998
497	988	996
498	989	993
499	990	990
500	990	986
501	992	984
502	993	981
503	994	978
504	995	975
505	996	972
506	997	969
507	998	966
508	999	964
509	1003	964
510	1006	962
511	1006	959
512	1008	957
513	1009	954
514	1009	951
515	1010	948
516	1011	945
517	1012	942
518	1013	939
519	1014	936
520	1018	936
521	1019	933
522	1021	931
523	1022	929
524	1023	926
525	1024	923
526	1025	920
527	1026	917
528	1027	914
529	1028	912
530	1029	909
531	1034	910
532	1038	909
533	1039	906
534	1039	903
535	1040	900
536	1043	899
537	1044	897
538	1047	895
539	1048	893
540	1049	890
541	1050	887
542	1052	886
543	1054	883
544	1056	881
545	1062	883
546	1063	880
547	1063	877
548	1064	874
549	1066	872
550	1067	870
551	1069	867
552	1070	865
553	1071	862
554	1072	859
555	1073	857
556	1074	854
557	1075	851
558	1076	849
559	1078	847
560	1078	844
561	1079	841
562	1081	839
563	1082	836
564	1083	834
565	1084	831
566	1085	828
567	1086	826
568	1087	823
569	1089	821
570	1093	821
571	1105	827
572	1107	825
573	1109	823
574	1111	821
575	1113	819
576	1114	816
577	1115	814
578	1116	812
579	1118	809
580	1119	807
581	1121	805
582	1122	802
583	1126	802
584	1133	804
585	1136	802
586	1137	800
587	1139	798
588	1140	796
589	1142	793
590	1143	791
591	1144	788
592	1145	786
593	1147	784
594	1149	782
595	1151	780
596	1152	778
597	1153	775
598	1154	772
599	1155	770
600	1156	767
601	1157	765
602	1158	762
603	1159	760
604	1160	757
605	1161	755
606	1162	752
607	1163	750
608	1164	747
609	1165	745
610	1166	742
611	1167	740
612	1168	737
613	1170	735
614	1171	733
615	1172	730
616	1173	728
617	1174	726
618	1175	723
619	1176	721
620	1177	718
621	1178	716
622	1179	713
623	1181	711
624	1182	709
625	1183	707
626	1185	705
627	1186	702
628	1187	700
629	1188	698
630	1189	695
631	1190	693
632	1191	690
633	1192	688
634	1193	685
635	1194	683
636	1195	681
637	1196	678
638	1197	676
639	1198	674
640	1200	672
641	1201	669
642	1202	667
643	1203	665
644	1204	662
645	1205	660
646	1206	658
647	1207	656
648	1208	653
649	1209	651
650	1217	652
651	1223	653
652	1224	650
653	1227	649
654	1228	646
655	1229	644
656	1230	642
657	1231	640
658	1232	637
659	1233	635
660	1234	633
661	1235	631
662	1236	628
663	1238	626
664	1238	624
665	1242	622
666	1243	620
667	1244	618
668	1247	617
669	1248	614
670	1249	612
671	1251	610
672	1252	608
673	1253	606
674	1254	604
675	1256	602
676	1258	600
677	1259	598
678	1260	595
679	1261	593
680	1262	591
681	1263	589
682	1264	586
683	1265	584
684	1266	582
685	1267	580
686	1271	579
687	1273	577
688	1275	575
689	1277	574
690	1283	573
691	1284	571
692	1286	569
693	1287	567
694	1288	565
695	1289	563
696	1291	561
697	1292	559
698	1293	557
699	1295	555
700	1296	553
701	1297	550
702	1299	548
703	1300	546
704	1308	547
705	1312	546
706	1314	544
707	1315	542
708	1318	541
709	1328	542
710	1329	540
711	1331	538
712	1332	536
713	1332	533
714	1333	531
715	1336	530
716	1339	528
717	1343	527
718	1353	528
719	1354	526
720	1356	524
721	1357	522
722	1358	520
723	1359	518
724	1361	516
725	1363	514
726	1364	512
727	1366	510
728	1368	508
729	1369	506
730	1370	504
731	1371	502
732	1372	500
733	1373	497
734	1375	495
735	1377	493
736	1378	492
737	1380	490
738	1381	488
739	1383	486
740	1384	484
741	1385	481
742	1387	480
743	1389	477
744	1390	475
745	1391	473
746	1392	471
747	1394	469
748	1396	468
749	1398	466
750	1399	464
751	1402	462
752	1409	462
753	1411	460
754	1413	458
755	1414	456
756	1416	454
757	1420	453
758	1423	451
759	1424	449
760	1428	448
761	1429	446
762	1431	444
763	1432	442
764	1434	440
765	1440	440
766	1441	438
767	1443	436
768	1444	434
769	1445	431
770	1447	429
771	1448	427
772	1449	425
773	1450	423
774	1452	421
775	1453	419
776	1458	418
777	1459	416
778	1461	414
779	1464	412
780	1465	410
781	1467	409
782	1470	407
783	1472	405
784	1474	403
785	1475	401
786	1476	399
787	1478	397
788	1478	395
789	1480	393
790	1481	391
791	1482	389
792	1483	387
793	1483	385
794	1484	382
795	1486	380
796	1487	378
797	1489	377
798	1491	375
799	1493	373
800	1495	371
801	1497	369
802	1500	368
803	1501	366
804	1503	364
805	1504	362
806	1504	359
807	1506	357
808	1507	355
809	1508	353
810	1509	351
811	1510	349
812	1511	347
813	1511	345
814	1512	343
815	1513	341
816	1514	339
817	1515	337
818	1516	335
819	1517	333
820	1518	331
821	1520	329
822	1521	327
823	1522	325
824	1523	323
825	1524	321
826	1525	319
827	1526	317
828	1527	315
829	1528	313
830	1530	311
831	1534	309
832	1536	307
833	1537	305
834	1538	303
835	1539	302
836	1540	299
837	1540	297
838	1541	295
839	1542	293
840	1543	291
841	1544	289
842	1552	289
843	1555	287
844	1557	285
845	1559	283
846	1561	282
847	1563	280
848	1564	278
849	1566	276
850	1567	274
851	1569	272
852	1569	270
853	1570	268
854	1571	266
855	1573	264
856	1573	262
857	1574	260
858	1577	258
859	1579	257
860	1580	255
861	1582	253
862	1583	251
863	1585	249
864	1586	247
865	1587	245
866	1588	243
867	1589	241
868	1590	239
869	1590	237
870	1592	235
871	1593	233
872	1595	232
873	1596	230
874	1597	228
875	1599	226
876	1600	224
877	1601	222
878	1602	220
879	1603	218
880	1604	216
881	1605	214
882	1606	212
883	1607	210
884	1608	209
885	1610	207
886	1611	205
887	1612	203
888	1613	201
889	1614	199
890	1616	197
891	1617	195
892	1618	193
893	1619	192
894	1620	190
895	1621	188
896	1623	186
897	1623	184
898	1624	182
899	1626	180
900	1627	178
901	1628	176
902	1632	175
903	1633	173
904	1634	171
905	1635	169
906	1636	167
907	1637	165
908	1641	164
909	1642	162
910	1644	160
911	1645	158
912	1647	156
913	1648	155
914	1649	153
915	1652	151
916	1654	149
917	1656	147
918	1658	146
919	1659	144
920	1660	142
921	1664	140
922	1666	138
923	1667	137
924	1668	135
925	1671	133
926	1672	131
927	1673	129
928	1675	128
929	1676	126
930	1678	124
931	1679	122
932	1681	120
933	1682	118
934	1683	117
935	1685	115
936	1686	113
937	1695	112
938	1697	110
939	1698	108
940	1700	106
941	1701	104
942	1703	102
943	1704	101
944	1705	99
945	1706	97
946	1707	95
947	1708	93
948	1709	91
949	1710	90
950	1713	88
951	1716	86
952	1717	84
953	1719	82
954	1720	81
955	1721	79
956	1722	77
957	1723	75
958	1724	73
959	1727	71
960	1729	70
961	1730	68
962	1731	66
963	1732	64
964	1734	62
965	1735	61
966	1736	59
967	1738	57
968	1739	55
969	1741	53
970	1743	52
971	1746	50
972	1747	48
973	1748	46
974	1749	44
975	1750	43
976	1751	41
977	1752	39
978	1753	37
979	1755	35
980	1757	34
981	1760	32
982	1762	30
983	1765	28
984	1766	26
985	1767	25
986	1768	23
987	1769	21
988	1773	19
989	1774	17
990	1775	16
991	1777	14
992	1778	12
993	1779	10
994	1780	8
995	1781	7
996	1782	5
997	1783	3
998	1784	1
999	1788	0
