iter	Logloss
0	0.6887562317
1	0.6865141074
2	0.6839074349
3	0.6800206916
4	0.6760603962
5	0.6720343429
6	0.6678761312
7	0.6641588235
8	0.6600485785
9	0.656870268
10	0.6532969936
11	0.6499260006
12	0.6461838745
13	0.6424055549
14	0.6389076544
15	0.636282829
16	0.6325501375
17	0.62924899
18	0.6254484816
19	0.6222090343
20	0.6185657723
21	0.6165995871
22	0.6132818243
23	0.6098740145
24	0.6065978264
25	0.6037267842
26	0.6008708079
27	0.5982942956
28	0.5952369025
29	0.5923212948
30	0.5894937844
31	0.5866746617
32	0.5839871575
33	0.5811809721
34	0.5785913102
35	0.5756147571
36	0.573162713
37	0.5704403991
38	0.5675153455
39	0.5647476268
40	0.5622023182
41	0.5600271894
42	0.5577023613
43	0.5553851342
44	0.5529561854
45	0.5506881704
46	0.5485427349
47	0.5460468331
48	0.5436664464
49	0.5413875369
50	0.5390410125
51	0.5376640123
52	0.5355919359
53	0.5337795834
54	0.5319112086
55	0.5296259585
56	0.5277109272
57	0.526588638
58	0.5246466547
59	0.5223717719
60	0.5210426718
61	0.5192123959
62	0.5170638472
63	0.5150875658
64	0.513203419
65	0.5110742143
66	0.5091109549
67	0.5082146856
68	0.5062795677
69	0.504428254
70	0.5028615936
71	0.5017437924
72	0.4998749458
73	0.4981601028
74	0.4965320767
75	0.4948667607
76	0.4935952546
77	0.4919118113
78	0.4902213181
79	0.4884344933
80	0.4869282989
81	0.4851308224
82	0.4840377246
83	0.4826598218
84	0.4812518087
85	0.4796401514
86	0.4782937524
87	0.4778027986
88	0.4761291602
89	0.4747474609
90	0.4733673058
91	0.4720843993
92	0.4708159116
93	0.4694915737
94	0.4681440614
95	0.4667595396
96	0.4652498206
97	0.4643881363
98	0.4631026405
99	0.4615313852
100	0.4608822526
101	0.4595214766
102	0.4580598255
103	0.4569850729
104	0.4555166728
105	0.4541649705
106	0.4529881727
107	0.4517530101
108	0.4505944719
109	0.449130334
110	0.4482579394
111	0.4471594385
112	0.4456745631
113	0.4444913919
114	0.4432902614
115	0.4421142313
116	0.4409317409
117	0.4400826696
118	0.4391398221
119	0.4384136938
120	0.4377759131
121	0.4372637976
122	0.4363491422
123	0.4349274638
124	0.4343259311
125	0.4333071293
126	0.432398161
127	0.4314645949
128	0.430451578
129	0.4298995681
130	0.4290863613
131	0.4281713262
132	0.4271040719
133	0.4259976889
134	0.4257344643
135	0.424669295
136	0.4237395408
137	0.422896067
138	0.4221928606
139	0.4208168368
140	0.4205198795
141	0.4194842109
142	0.4188817324
143	0.4180791055
144	0.4170915622
145	0.4162703389
146	0.4151413984
147	0.4148851058
148	0.413818332
149	0.4129492998
150	0.4122142476
151	0.4115430357
152	0.4109254442
153	0.4100670024
154	0.4097144773
155	0.4087309848
156	0.4078477835
157	0.4069867177
158	0.4059546339
159	0.4051344867
160	0.4044215759
161	0.4037011644
162	0.4031121338
163	0.4021910866
164	0.4016896782
165	0.4010999082
166	0.4006894157
167	0.4001390703
168	0.3999458473
169	0.3991975094
170	0.398574607
171	0.3980058302
172	0.397686081
173	0.3971020819
174	0.3964699488
175	0.3961651523
176	0.3955270958
177	0.3952068076
178	0.3947196079
179	0.3944477192
180	0.3937821557
181	0.3931805454
182	0.3927007329
183	0.39192049
184	0.3908767917
185	0.3899995416
186	0.38930551
187	0.3884916822
188	0.3879736369
189	0.3873712814
190	0.3867946411
191	0.3862165555
192	0.3855923065
193	0.3854195189
194	0.3848822475
195	0.3844650419
196	0.3837151638
197	0.3829246343
198	0.3823087138
199	0.381805644
200	0.3814873535
